Runtime,Aspect_Ratio,Content_Rating_Score,Genre_Musical,Genre_Romance,Genre_Sport,Genre_Crime,Genre_Documentary,Genre_Film_Noir,Genre_Short,Genre_Fantasy,Genre_Horror,Genre_Comedy,Genre_Western,Genre_Thriller,Genre_War,Genre_Animation,Genre_Family,Genre_Mystery,Genre_Adventure,Genre_Drama,Genre_History,Genre_Biography,Genre_Sci_Fi,Genre_News,Genre_Action,Release_Month,Director_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Lead_Actor_Name,Director_Name,Revenue,class
148,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,7,414,353,160,Leonardo DiCaprio,Christopher Nolan,825,3
182,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,414,438,180,Ian McKellen,Peter Jackson,1021,3
106,2.35,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,150,90,380,Paul Walker,Rob Cohen,207,1
166,2.35,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,219,145,150,Cate Blanchett,David Fincher,333,1
132,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,314,301,160,James McAvoy,Matthew Vaughn,353,1
137,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,364,388,160,Jennifer Lawrence,Francis Lawrence,653,2
109,2.35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,153,122,150,Nicolas Cage,Jon Turteltaub,215,1
98,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,301,54,160,Kurt Russell,Wolfgang Petersen,181,1
113,1.85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,181,266,170,Johnny Depp,James Bobin,299,1
93,1.85,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,7,364,388,160,Mike Myers,Chris Miller,798,2
123,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,290,164,160,Paula Patton,Duncan Jones,433,1
126,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,314,178,155,Arnold Schwarzenegger,Alan Taylor,440,1
113,1.78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,138,338,155,Skandar Keynes,Michael Apted,415,1
184,2.35,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,314,176,140,Ben Affleck,Michael Bay,449,1
144,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,414,438,150,Shia LaBeouf,Michael Bay,709,3
102,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,258,388,150,Will Smith,Peter Berg,624,2
104,2.35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,364,388,150,Will Smith,Francis Lawrence,585,2
115,1.85,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,238,266,150,Johnny Depp,Tim Burton,474,1
111,2.35,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,364,438,150,Patton Oswalt,Brad Bird,623,2
128,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,314,272,150,Christian Bale,Christopher Nolan,374,1
89,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,3,364,308,150,Ben Stiller,Eric Darnell,603,2
105,2.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,201,258,150,Ben Stiller,Shawn Levy,413,1
119,2.35,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,174,315,150,Hugh Jackman,Gavin Hood,373,1
102,2.24,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,514,538,150,Kristen Bell,Chris Buck,1274,5
138,2.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,397,265,150,Keanu Reeves,Lana Wachowski,738,3
112,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,364,324,170,Chris Hemsworth,Alan Taylor,644,2
146,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,232,313,150,Tom Hanks,Ron Howard,356,1
115,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,364,324,150,Chris Hemsworth,Kenneth Branagh,449,2
96,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,2,314,118,150,John Travolta,Byron Howard,309,1
88,2.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,292,72,150,Sam Rockwell,Hoyt Yeatman,292,1
99,1.85,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,194,338,150,Sam Worthington,Jonathan Liebesman,301,1
113,1.85,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,238,266,100,Johnny Depp,Tim Burton,245,1
119,1.85,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,211,9,150,Benicio del Toro,Joe Johnston,200,1
91,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,9,287,287,150,Jerry Seinfeld,Steve Hickner,287,1
90,2.35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,4,414,438,150,Jack Black,Jennifer Yuh Nelson,665,3
103,2.35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,272,31,150,Noah Ringer,M. Night Shyamalan,318,1
124,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9,314,336,150,Tom Cruise,J.J. Abrams,397,1
131,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9,314,135,150,Channing Tatum,Roland Emmerich,205,1
88,2.35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,3,127,36,150,Seth Green,Simon Wells,38,1
111,2.35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,960,128,150,Levi Miller,Joe Wright,128,1
92,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,188,272,145,Ty Burrell,Rob Minkoff,272,1
196,2.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,351,243,175,Brad Pitt,Wolfgang Petersen,497,2
93,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,7,414,358,145,Ben Stiller,Eric Darnell,746,3
116,2.35,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,169,136,144,Melissa McCarthy,Paul Feig,229,1
153,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,364,204,140,Bruce Willis,Michael Bay,553,2
88,1.85,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,9,314,180,140,Tommy Lee Jones,Barry Sonnenfeld,441,1
115,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,276,195,150,Ray Winstone,Robert Zemeckis,195,1
95,2.35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,3,364,388,145,Jack Black,Alessandro Carloni,521,2
133,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,414,436,145,Tom Cruise,Brad Bird,694,3
97,1.85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,306,267,145,Chris Pine,Peter Ramsey,306,1
90,2.35,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,187,100,Jim Carrey,Dean Parisot,202,1
154,2.35,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,7,210,386,140,Tom Cruise,Edward Zwick,456,2
127,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,314,267,150,Chris Pine,J.J. Abrams,385,1
121,1.85,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,414,438,139,Tobey Maguire,Sam Raimi,821,3
102,2.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,7,414,438,145,Jay Baruchel,Dean DeBlois,609,3
126,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,186,75,140,Brenton Thwaites,Alex Proyas,150,1
121,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,150,59,135,Josh Lucas,Rob Cohen,76,1
215,2.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,9,314,18,130,Malin Åkerman,Zack Snyder,185,1
127,2.35,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,14,240,140,Mel Gibson,Richard Donner,285,1
138,1.85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,168,70,137,Eric Bana,Ang Lee,245,1
122,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,273,228,130,Dwayne Johnson,Jon M. Chu,371,2
106,1.85,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,9,85,42,137,Donald Sutherland,Hironobu Sakaguchi,85,1
124,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,261,388,140,Chris Evans,Joe Johnston,370,2
138,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,2,195,184,150,Russell Crowe,Peter Weir,212,1
115,2.35,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,349,488,120,Kristen Stewart,Bill Condon,829,4
135,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,11,371,260,10,Edward Norton,Louis Leterrier,163,5
156,2.35,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,7,346,303,135,Leonardo DiCaprio,Alejandro G. Iñárritu,532,2
